ID,name,store_uscore,full_price,developers,publishers,categories,genres,tags,meta_score,meta_uscore,igdb_score,igdb_uscore
518,Super Cloudbuilt,87,1999,"Coilworks,Double Eleven",Double Eleven,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV","Action,Indie","Action,Indie,Parkour,Female Protagonist,3D Platformer,Difficult,Great Soundtrack,Fast-Paced",76,80,75,90
519,Beyond Magic,60,299,Falling Star Studio,Falling Star Studio,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Adventure,Casual,Indie,RPG","Adventure,Indie,RPG,Casual,RPGMaker",,,,50
520,RUINER,91,1999,Reikon Games,Devolver Digital,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Indie","Cyberpunk,Action,Great Soundtrack,Violent,Indie,Gore,Twin Stick Shooter,Top-Down Shooter,Isometric,Difficult,Sci-fi,Singleplayer,Atmospheric,Shooter,Third Person,Top-Down,Dystopian ,Open World",75,75,76,78
521,Codex of Victory,74,1499,Ino-Co Plus,1C Entertainment ,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Indie,Strategy","Strategy,Turn-Based,Indie,Wargame,Base-Building,Sci-fi,Space",,73,,60
522,Regalia: Of Men and Monarchs,82,1999,Pixelated Milk,Klabater,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,RPG,Simulation,Strategy","RPG,Indie,Strategy,Simulation,Turn-Based,Anime,Tactical RPG,Tactical",73,79,70,60
523,Syberia 3,50,2999,Microids,Microids,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support",Adventure,"Adventure,Puzzle,Story Rich,Female Protagonist,Atmospheric,Point & Click,Singleplayer,Great Soundtrack,Steampunk,Hidden Object,Controller,Third Person,Open World",51,59,44,61
524,3030 Deathwar Redux - A Space Odyssey,95,1499,Bird in Sky,Crunchy Leaf Games,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud","Action,Adventure,Indie,Simulation","Indie,Space,Adventure,Sci-fi,2D,Open World,Simulation,Sandbox,Story Rich,Exploration,Singleplayer,Space Sim,Comedy,Atmospheric,Action,Great Soundtrack,Funny,Pixel Graphics,RPG",,,,80
525,çŒ«è‚‰ã€ŒCat Meatã€,71,99,"2D Heroes,Ursa Games",2D Heroes,Single-player,"Casual,Indie","Casual,Indie,Platformer,Pixel Graphics",,,,50
526,Monsters and Medicine,86,999,Clockwork Acorn,Clockwork Acorn,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Casual,Indie","Casual,Indie,Turn-Based,Procedural Generation,Puzzle,Tactical",,,,
527,Don Bradman Cricket 17,59,4999,Big Ant Studios,Big Ant Studios,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Remote Play on TV,Remote Play Together","Simulation,Sports","Sports,Simulation",,75,70,50
528,Stars in Shadow,80,2499,Ashdar Games,Iceberg Interactive,Single-player,"Indie,Strategy","4X,Strategy,Turn-Based Strategy,Indie,Turn-Based Combat,Space,Sci-fi,Turn-Based,Turn-Based Tactics",75,78,70,60
529,Sumer,93,1499,Studio Wumpus,Studio Wumpus,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Full controller support,Captions available,Remote Play Together","Indie,Strategy,Early Access","Early Access,Strategy,Indie,Board Game,Local Multiplayer",,,,
530,Quantized,50,1299,"Chris Mahoney,Kenny Bier",Abstractron,"Single-player,Steam Achievements","Casual,Indie,Simulation","Casual,Indie,Simulation,Music,Music-Based Procedural Generation,Rhythm,VR",,,,
531,Fury Unleashed,91,1999,Awesome Games Studio,Awesome Games Studio,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud,Steam Leaderboards,Remote Play on TV,Remote Play Together","Action,Adventure,Indie,RPG,Early Access","Early Access,Indie,Action,Platformer,RPG,Rogue-like,2D,Rogue-lite,Shooter,Comic Book,Shoot 'Em Up,Side Scroller,Perma Death,Adventure,Difficult,Arcade,Procedural Generation,Singleplayer,Replay Value,Fast-Paced",,,,
532,Serious Sam VR: The Last Hope,86,3999,Croteam VR,"Devolver Digital,Croteam","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,SteamVR Collectibles","Action,Indie","Action,Gore,VR,Indie,Violent,Shooter,FPS,Singleplayer,VR Only",,,82,80
533,Out of the Park Baseball 18,92,1999,Out of the Park Developments,Out of the Park Developments,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop","Indie,Simulation,Sports,Strategy","Sports,Strategy,Simulation,Indie,Management",86,68,88,50
534,Heroes Tactics,60,,Camex Games,Camex Games,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,In-App Purchases","Action,Adventure,Free to Play,Indie,RPG,Strategy","Strategy,Free to Play,RPG,Adventure,Action,Indie,Tactical RPG,PvP,Tactical,Card Game,Multiplayer",,,,
535,White Day: A Labyrinth Named School,73,2999,SONNORI Corp,"PQube Limited,SONNORI Corp","Single-player,Steam Achievements,Steam Trading Cards,In-App Purchases,Partial Controller Support,Steam Cloud","Action,Adventure,Indie","Adventure,Horror,Action,Survival Horror,First-Person,Indie,Puzzle,Anime,Singleplayer,Psychological Horror,Atmospheric",,,72,80
536,Arelite Core,95,1999,Dragon Slumber,Dragon Slumber,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Indie,RPG","Indie,RPG,Adventure,Great Soundtrack,Story Rich,Singleplayer,RPGMaker",59,72,70,70
537,Kingdom of Loot,59,,EPICBEYOND Studios,EPICBEYOND Studios,"Single-player,Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Partial Controller Support","Action,Adventure,Indie,Massively Multiplayer,RPG,Early Access","Early Access,Massively Multiplayer,RPG,Action,Adventure,Pixel Graphics,Indie,Retro,Loot",,,,60
538,Deceit,81,,Baseline,Baseline,"Multi-player,PvP,Online PvP,Steam Achievements,Steam Trading Cards,In-App Purchases,Partial Controller Support","Action,Free to Play,Indie","Multiplayer,Horror,Free to Play,Co-op,Action,FPS,Survival Horror,Survival,First-Person,Mystery,Strategy,Psychological Horror,Indie,Gore,Shooter,Atmospheric,Zombies,Psychological,Funny,Nudity",,80,,50
539,Planescape: Torment: Enhanced Edition,95,1999,Beamdog,Beamdog,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,Steam Cloud","Adventure,RPG,Strategy","RPG,Story Rich,Dark Fantasy,Party-Based RPG,Classic,Adventure,Isometric,Atmospheric,Fantasy,CRPG,Choices Matter,Singleplayer,Great Soundtrack,Strategy,Tactical RPG,Real-Time with Pause,Philisophical,Dungeons & Dragons",85,69,70,93
