SITE_NAME,DATE,VARIABLE,VALUE,UNIT,LOWER_GUIDELINE_RECOMMENDATION,UPPER_GUIDELINE_RECOMMENDATION
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/3/2014,PHOSPHORUS TOTAL,0.01,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/3/2014,ZINC TOTAL,2.5,UG/L,,121.515075
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/4/2014,AMMONIA DISSOLVED,0.114,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/4/2014,ARSENIC TOTAL,3.28,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/4/2014,CHLORIDE DISSOLVED,18.5,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/4/2014,COPPER TOTAL,11.3,UG/L,,3.939552
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/4/2014,LEAD TOTAL,7,UG/L,,6.805533
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/4/2014,NICKEL TOTAL,11.8,UG/L,,150.486321
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/4/2014,NITROGEN TOTAL,1.722,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/4/2014,OXYGEN DISSOLVED,12.48,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/4/2014,PHOSPHORUS TOTAL,0.467,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/4/2014,ZINC TOTAL,33.1,UG/L,,76.28955
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/7/2014,AMMONIA DISSOLVED,0.018,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/7/2014,ARSENIC TOTAL,1.99,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/7/2014,CHLORIDE DISSOLVED,3.59,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/7/2014,COPPER TOTAL,6.78,UG/L,,3.561563
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/7/2014,LEAD TOTAL,3.94,UG/L,,5.856004
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/7/2014,NICKEL TOTAL,7.25,UG/L,,137.573685
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/7/2014,NITROGEN TOTAL,0.998,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/7/2014,OXYGEN DISSOLVED,8.71,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/7/2014,PHOSPHORUS TOTAL,0.256,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/7/2014,ZINC TOTAL,19.5,UG/L,,61.1148
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/8/2014,AMMONIA DISSOLVED,0.009,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/8/2014,ARSENIC TOTAL,0.89,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/8/2014,CHLORIDE DISSOLVED,5.73,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/8/2014,COPPER TOTAL,2.13,UG/L,,3.819852
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/8/2014,LEAD TOTAL,0.724,UG/L,,6.499783
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/8/2014,NICKEL TOTAL,2.15,UG/L,,146.41267
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/8/2014,NITROGEN TOTAL,0.418,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/8/2014,OXYGEN DISSOLVED,8,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/8/2014,PHOSPHORUS TOTAL,0.041,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/8/2014,ZINC TOTAL,3.3,UG/L,,71.456025
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/10/2014,AMMONIA DISSOLVED,0.012,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/10/2014,ARSENIC TOTAL,0.67,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/10/2014,CHLORIDE DISSOLVED,6.31,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/10/2014,COPPER TOTAL,1.01,UG/L,,3.934181
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/10/2014,LEAD TOTAL,0.163,UG/L,,6.791715
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/10/2014,NICKEL TOTAL,1.01,UG/L,,150.303831
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/10/2014,NITROGEN TOTAL,0.398,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/10/2014,OXYGEN DISSOLVED,11.05,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/10/2014,PHOSPHORUS TOTAL,0.014,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/10/2014,ZINC TOTAL,1.1,UG/L,,76.072125
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2014,AMMONIA DISSOLVED,0.01,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2014,ARSENIC TOTAL,0.49,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2014,CHLORIDE DISSOLVED,9.67,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2014,COPPER TOTAL,0.91,UG/L,,4.288178
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2014,LEAD TOTAL,0.175,UG/L,,7.721897
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2014,NICKEL TOTAL,0.9,UG/L,,162.274538
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2014,NITROGEN TOTAL,0.802,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2014,OXYGEN DISSOLVED,12.44,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2014,PHOSPHORUS TOTAL,0.0119,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2014,ZINC TOTAL,1.3,UG/L,,90.507825
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/12/2014,AMMONIA DISSOLVED,0.08,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/12/2014,ARSENIC TOTAL,0.52,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/12/2014,CHLORIDE DISSOLVED,15.1,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/12/2014,COPPER TOTAL,1.03,UG/L,,4.713157
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/12/2014,LEAD TOTAL,0.203,UG/L,,8.889193
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/12/2014,NICKEL TOTAL,1.14,UG/L,,176.502508
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/12/2014,NITROGEN TOTAL,1.185,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/12/2014,OXYGEN DISSOLVED,15.17,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/12/2014,PHOSPHORUS TOTAL,0.0126,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",2/12/2014,ZINC TOTAL,1.9,UG/L,,108.1071
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",7/1/2015,AMMONIA DISSOLVED,0.102,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",7/1/2015,ARSENIC TOTAL,0.46,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",7/1/2015,CHLORIDE DISSOLVED,13.2,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",7/1/2015,COPPER TOTAL,0.99,UG/L,,4.953673
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",7/1/2015,LEAD TOTAL,0.101,UG/L,,9.573356
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",7/1/2015,NICKEL TOTAL,0.95,UG/L,,184.491295
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",7/1/2015,NITROGEN TOTAL,1.044,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",7/1/2015,OXYGEN DISSOLVED,15.37,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",7/1/2015,PHOSPHORUS TOTAL,0.0071,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",7/1/2015,ZINC TOTAL,1.7,UG/L,,118.1895
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/2/2015,AMMONIA DISSOLVED,0.071,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/2/2015,ARSENIC TOTAL,0.6,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/2/2015,CHLORIDE DISSOLVED,14.1,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/2/2015,COPPER TOTAL,1.32,UG/L,,4.332125
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/2/2015,LEAD TOTAL,0.2,UG/L,,7.840087
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/2/2015,NICKEL TOTAL,1.12,UG/L,,163.752836
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/2/2015,NITROGEN TOTAL,1.071,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/2/2015,OXYGEN DISSOLVED,12.29,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/2/2015,PHOSPHORUS TOTAL,0.03,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/2/2015,ZINC TOTAL,2.4,UG/L,,92.3145
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/3/2015,AMMONIA DISSOLVED,0.011,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/3/2015,ARSENIC TOTAL,0.69,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/3/2015,CHLORIDE DISSOLVED,15.6,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/3/2015,COPPER TOTAL,1.81,UG/L,,4.261303
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/3/2015,LEAD TOTAL,0.699,UG/L,,7.649909
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/3/2015,NICKEL TOTAL,1.92,UG/L,,161.369657
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/3/2015,NITROGEN TOTAL,0.906,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/3/2015,OXYGEN DISSOLVED,13.65,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/3/2015,PHOSPHORUS TOTAL,0.045,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/3/2015,ZINC TOTAL,5.8,UG/L,,89.4045
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/4/2015,AMMONIA DISSOLVED,0.009,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/4/2015,ARSENIC TOTAL,1.03,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/4/2015,CHLORIDE DISSOLVED,10.3,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/4/2015,COPPER TOTAL,2.97,UG/L,,4.017571
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/4/2015,LEAD TOTAL,1.34,UG/L,,7.007288
